질문번호,질문내용,답변,응답 수
q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",5.0,506
q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",6.0,368
q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",3.0,175
q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",7.0,133
q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",2.0,63
q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",1.0,15
q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",5.0,540
q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",4.0,474
q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",6.0,423
q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",3.0,157
q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",7.0,124
q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",2.0,50
q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",1.0,13
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,1.0,385
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,4.0,344
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,2.0,223
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,6.0,190
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,3.0,187
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,9.0,111
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,5.0,108
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,7.0,85
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,11.0,61
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,8.0,51
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,10.0,30
q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,12.0,6
q6_op,6. (기타 오픈응답),쓰리기 매일수거,1
q6_op,6. (기타 오픈응답),청년,1
q6_op,6. (기타 오픈응답),무분별한 외국이 받아들이지 말기. 공원조성. 악취해결,1
q6_op,6. (기타 오픈응답),공용전동킥보드 규제,1
q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,5.0,512
q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,4.0,511
q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,6.0,362
q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,3.0,216
q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,7.0,79
q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,2.0,69
q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,1.0,32
q8,"8. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?",2.0,530
q8,"8. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?",3.0,414
q8,"8. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?",1.0,350
q8,"8. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?",5.0,279
q8,"8. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?",4.0,208
q9,9. 귀하는 올해 여름 휴가(7-8월)를 다녀오셨습니까? 혹은 계획이 있습니까?,3.0,468
q9,9. 귀하는 올해 여름 휴가(7-8월)를 다녀오셨습니까? 혹은 계획이 있습니까?,1.0,441
q9,9. 귀하는 올해 여름 휴가(7-8월)를 다녀오셨습니까? 혹은 계획이 있습니까?,2.0,384
q9,9. 귀하는 올해 여름 휴가(7-8월)를 다녀오셨습니까? 혹은 계획이 있습니까?,5.0,329
q9,9. 귀하는 올해 여름 휴가(7-8월)를 다녀오셨습니까? 혹은 계획이 있습니까?,4.0,159
